"","study_ID","study","experiment","first_author","year","n_turbines","n_turbines_studied","total_capacity_study_turbines_kW","total_capacity_kW","capacity_class","turbine_type","max_diameter","n_blades","rpm","head","max_flow_rate_HPP","sampling_method","country","global_region","location","waterbody","MQ_waterbody","Lat","Long"
"1","Holzner_2000_Mainkraftwerks_Dettelbach","Holzner (2000)","Mainkraftwerks Dettelbach","Holzner",2000,2,2,4500,4500,"SHP","Kaplan",3.54,4,100,4.55,120,"net","Germany","Europe","Dettelbach","Main","112",49.79465,10.1818
"2","Schmalz_2007_Wasserkraftanlage_Döbritschen","Schmalz & Schmalz (2007)","Wasserkraftanlage Döbritschen","Schmalz",2007,2,2,425,425,"vSHP","Francis",2.7,21,33,2.5,20,"net","Germany","Europe","Döbritschen","Saale","31.4",51.04296,11.6802
"3","Späh_2001_Schnecke_Höxter","Späh (2001)","Schnecke Höxter","Späh",2001,NA,1,18.5,18.5,"SHP","Screw",1.38,NA,NA,3.97,0.615,"net","Germany","Europe","Höxter-Godelheim","Nethe","5.65",51.73008,9.36678
"4","Schneider_2012_Mainkraftwerk_Kostheim_stocking","Schneider et al. (2012)","Mainkraftwerk Kostheim stocking","Schneider",2012,2,1,2480,4960,"SHP","Kaplan",3.71,3,85,3.76,160,"net","Germany","Europe","Kostheim","Main","210",50.00031,8.33493
"5","Edler_2011_Schnecke_Rhede-Krechting","Edler et al. (2011)","Schnecke Rhede-Krechting","Edler",2011,1,1,55,55,"vSHP","Screw",2.6,NA,NA,2.8,2.5,"net","Germany","Europe","Krechting","Bocholter Aa","2.7",51.81843,6.69863
"6","Matk_2012_WKA_Prossen_Lachsbach","Matk (2012)","WKA Prossen Lachsbach","Matk",2012,1,1,80,80,"vSHP","Francis",NA,NA,140,4.5,2.43,"net","Germany","Europe","Prossen","Lachsbach",NA,50.93309,14.13208
"7","Schmalz_2010_Walkmühle_Screw","Schmalz (2010)","Walkmühle Screw","Schmalz",2010,3,1,45.5,357,"vSHP","Screw",NA,NA,NA,2.55,14,"net","Germany","Europe","Meiningen","Werra","14",50.55134,10.41019
"8","Schmalz_2010_Walkmühle_Francisturbine","Schmalz (2010)","Walkmühle Francisturbine","Schmalz",2010,3,2,310,357,"vSHP","Francis",NA,18,NA,3.04,14,"net","Germany","Europe","Meiningen","Werra","14",50.55134,10.41019
"9","Schwevers_2011_Aalabstieg_Landesbergen","Schwevers et al. (2011)","Aalabstieg Landesbergen","Schwevers",2011,3,3,7200,7200,"SHP","Kaplan",4.5,4,69,3.76,200,"net","Germany","Europe","Landesbergen","Weser","193",52.57649,9.11159
"10","Schwevers_2011_Aalabstieg_Drakenburg","Schwevers et al. (2011)","Aalabstieg Drakenburg","Schwevers",2011,3,3,5000,5000,"SHP","Kaplan",4.5,4,60,3,200,"net","Germany","Europe","Drakenburg","Weser","208",52.68913,9.21175
