"","species_code","study_ID","study","experiment","first_author","year","taxorder","family","genus","species","common_name","min_length","max_length","avg_length","N","n_mort","n_not_mort","mort_rate","mort_rate_lwr","mort_rate_upr","post_monitoring_uncertainty","catch_related_uncertainty","bshape","a3.0","swim_bladder","rel_height","rel_width","n_turbines","n_turbines_studied","total_capacity_study_turbines_kW","total_capacity_kW","capacity_class","turbine_type","max_diameter","n_blades","rpm","head","max_flow_rate_HPP","sampling_method","global_region","country","location","waterbody","MQ_waterbody","Lat","Long"
"1","Leu_asp","Holzner_2000_Mainkraftwerks_Dettelbach","Holzner (2000)","Mainkraftwerks Dettelbach","Holzner",2000,"Cypriniformes","Leuciscidae","Leuciscus","Leuciscus aspius","Asp",6.1,71.5,11.3,63,9,54,0.142857142857143,0,0.142857142857143,0,0.15,"fusiform",0.0138160208126305,"physostomous",0.195,0.11,2,2,4500,4500,"SHP","Kaplan",3.54,4,100,4.55,120,"net","Europe","Germany","Dettelbach","Main","112",49.79465,10.1818
"2","Leu_asp","Ache_2011_WKA_Vilshofen_Francisturbine","Ache (2011)","WKA Vilshofen Francisturbine","Ache",2011,"Cypriniformes","Leuciscidae","Leuciscus","Leuciscus aspius","Asp",NA,NA,NA,133,59,74,0.443609022556391,0.293609022556391,0.593609022556391,0.15,0.15,"fusiform",0.0138160208126305,"physostomous",0.195,0.11,3,2,300,330,"vSHP","Francis",NA,NA,130,3,11,"net","Europe","Germany","Vilshofen","Vils","10.5",48.61665,13.16891
"3","Leu_asp","Ache_2011_WKA_Vilshofen_Screw","Ache (2011)","WKA Vilshofen Screw","Ache",2011,"Cypriniformes","Leuciscidae","Leuciscus","Leuciscus aspius","Asp",NA,NA,NA,2,0,2,0,0,0.25,0.25,0.25,"fusiform",0.0138160208126305,"physostomous",0.195,0.11,3,1,30,330,"vSHP","Screw",NA,NA,35.1,3,11,"net","Europe","Germany","Vilshofen","Vils","10.5",48.61665,13.16891
"4","Leu_asp","Wagner_2013_WKA_Stahmeln","Wagner (2013a)","WKA Stahmeln","Wagner",2013,"Cypriniformes","Leuciscidae","Leuciscus","Leuciscus aspius","Asp",2.5,20,7.2,1,1,0,1,0.75,1,0.25,0.25,"fusiform",0.0138160208126305,"physostomous",0.195,0.11,2,2,162,162,"vSHP","Francis",1.5,NA,40,1.6,8.25,"net","Europe","Germany","Stahmeln","Weiße Elster","7.5",51.37587,12.30133
"5","Leu_asp","Mueller_2020_Höllthal_natural_migration_screws","Mueller et al. (2020g)","Höllthal natural migration screws","Mueller",2020,"Cypriniformes","Leuciscidae","Leuciscus","Leuciscus aspius","Asp",3.6,12,7.8,28,8,20,0.285714285714286,0.135714285714286,0.285714285714286,0,0.15,"fusiform",0.0138160208126305,"physostomous",0.195,0.11,2,2,306,571,"vSHP","Screw",4.3,NA,14,2,36,"net","Europe","Germany","Höllthal","Alz","51.5",47.97806,12.50275
"6","Leu_asp","Mueller_2020_Höllthal_natural_migration_Kaplan","Mueller et al. (2020g)","Höllthal natural migration Kaplan","Mueller",2020,"Cypriniformes","Leuciscidae","Leuciscus","Leuciscus aspius","Asp",3.6,12,7.8,27,9,18,0.333333333333333,0.183333333333333,0.333333333333333,0,0.15,"fusiform",0.0138160208126305,"physostomous",0.195,0.11,1,1,265,571,"vSHP","Kaplan",2.5,4,100,2,36,"net","Europe","Germany","Höllthal","Alz","51.5",47.97806,12.50275
"7","Bar_bar","Schomaker_2016_Untermühle_Freienorla","Schomaker & Wolter (2016)","Untermühle Freienorla","Schomaker",2016,"Cypriniformes","Cyprinidae","Barbus","Barbus barbus","Common barbel",5.9,13,9.8,3,0,3,0,0,0.25,0.25,0.25,"fusiform",0.00626112707121763,"physostomous",0.196,0.167,1,1,18,18,"vSHP","Water wheel",5.58,40,5.25,1.8,1.6,"net","Europe","Germany","Freienorla","Orla","1.35",50.76982,11.541762
"8","Bar_bar","Holzner_2000_Mainkraftwerks_Dettelbach","Holzner (2000)","Mainkraftwerks Dettelbach","Holzner",2000,"Cypriniformes","Cyprinidae","Barbus","Barbus barbus","Common barbel",3.1,76,35.8,56,8,48,0.142857142857143,0,0.142857142857143,0,0.15,"fusiform",0.00626112707121763,"physostomous",0.196,0.167,2,2,4500,4500,"SHP","Kaplan",3.54,4,100,4.55,120,"net","Europe","Germany","Dettelbach","Main","112",49.79465,10.1818
"9","Bar_bar","Mueller_2020_Heckerwehr_stocking_HF","Mueller et al. (2020d)","Heckerwehr stocking high flow","Mueller",2020,"Cypriniformes","Cyprinidae","Barbus","Barbus barbus","Common barbel",10.2,19.1,14.2,326,1,325,0.00306748466257669,0.00306748466257669,0.00306748466257669,0,0,"fusiform",0.00626112707121763,"physostomous",0.196,0.167,1,1,80,80,"vSHP","Screw",3.2,NA,18.75,2.53,5,"net","Europe","Germany","Heckerwehr","Roth","3.17",49.23298,11.12304
"10","Bar_bar","Mueller_2020_Höllthal_stocking_Kaplan_HF","Mueller et al. (2020g)","Höllthal stocking Kaplan high flow","Mueller",2020,"Cypriniformes","Cyprinidae","Barbus","Barbus barbus","Common barbel",6.3,17.8,10.6,223,12,211,0.0538116591928251,0.0538116591928251,0.0538116591928251,0,0,"fusiform",0.00626112707121763,"physostomous",0.196,0.167,1,1,265,571,"vSHP","Kaplan",2.5,4,100,2,36,"net","Europe","Germany","Höllthal","Alz","51.5",47.97806,12.50275
"11","Bar_bar","Schneider_2012_Mainkraftwerk_Kostheim_natural_migration","Schneider et al. (2012)","Mainkraftwerk Kostheim natural migration","Schneider",2012,"Cypriniformes","Cyprinidae","Barbus","Barbus barbus","Common barbel",NA,NA,NA,4,1,3,0.25,0,0.5,0.25,0.25,"fusiform",0.00626112707121763,"physostomous",0.196,0.167,2,1,2480,4960,"SHP","Kaplan",3.71,3,85,3.76,160,"net","Europe","Germany","Kostheim","Main","210",50.00031,8.33493
